dt,age_cd,sex_cd,home_sido_nm,h0d0h0_dur_r,h0d0h1_dur_r,h0d1h0_dur_r,h0d1h1_dur_r,h1d0h0_dur_r,h1d0h1_dur_r,h1d1h0_dur_r,h1d1h1_dur_r
20200831,0,\N,\N,0.067129138,0.92982011,0.100835646,0.896113602,0.110441024,0.869076913,0.151161331,0.828353877
20200831,10,\N,\N,0.079055991,0.92083616,0.156143751,0.843748401,0.094079054,0.905623705,0.142614402,0.857087306
20200831,20,\N,\N,0.172518411,0.82740038,0.376582854,0.623335937,0.200353816,0.799579196,0.280170215,0.719762797
20200831,30,\N,\N,0.165081223,0.834887388,0.480524861,0.51944375,0.183023505,0.816935334,0.300371419,0.699587419
20200831,40,\N,\N,0.153917531,0.846063383,0.492156504,0.507824409,0.152074556,0.84789911,0.295852809,0.704120857
20200831,50,\N,\N,0.155046849,0.844933816,0.483028151,0.516952514,0.150994489,0.84896581,0.33217127,0.667789029
20200831,60,\N,\N,0.129255267,0.870717023,0.370678287,0.629294003,0.130662533,0.869198575,0.289505487,0.710355279
20200831,70,\N,\N,0.082995585,0.916901778,0.2170514,0.782845963,0.084481467,0.913696211,0.176887182,0.821291176
20200831,\N,1,\N,0.168466432,0.831424368,0.463720182,0.536170712,0.171438674,0.828030592,0.311621902,0.687847083
20200831,\N,2,\N,0.112718037,0.887195803,0.330798771,0.66911497,0.125713123,0.873682763,0.236951245,0.762444641
20200831,\N,\N,충청북도,0.14731913,0.852534375,0.393712906,0.606140599,0.162156392,0.836610217,0.300260506,0.698506102
20200831,\N,\N,충청남도,0.158676786,0.841231574,0.414408794,0.585499566,0.174791622,0.824408943,0.311906268,0.687294296
20200831,\N,\N,제주특별자치도,0.167056102,0.831585549,0.388162241,0.61047941,0.158452253,0.837407811,0.29962021,0.696235528
20200831,\N,\N,전라북도,0.154186067,0.845612877,0.405708165,0.594090779,0.165080565,0.833776424,0.306364823,0.692492166
20200831,\N,\N,전라남도,0.159177563,0.840657204,0.386719425,0.613115342,0.166454147,0.832671895,0.292920479,0.706205563
20200831,\N,\N,인천광역시,0.13621793,0.863710607,0.403256267,0.59667227,0.141824024,0.857550898,0.265284192,0.73409073
20200831,\N,\N,울산광역시,0.164044831,0.835610477,0.412503294,0.587152014,0.160579992,0.837633495,0.288952941,0.709260545
20200831,\N,\N,세종특별자치시,0.163428708,0.834682682,0.433023557,0.565087832,0.198672525,0.794033005,0.321267582,0.671437948
20200831,\N,\N,서울특별시,0.124098915,0.875883043,0.381477888,0.618504069,0.13235597,0.867519656,0.244643852,0.755231775
